    from_zone  to_zone     count  probability   from_lat  from_lon     to_lat    to_lon
75     9857.0   9858.0  243370.0     1.000000  46.235828  15.08234  46.239120  15.05792
76     9861.0   9862.0  243369.0     1.000000  46.247669  15.04755  46.247669  15.04755
77     9872.0   9873.0  243355.0     1.000000  46.256828  15.11543  46.256828  15.11543
78     9867.0   9868.0  243345.0     1.000000  46.263000  15.09585  46.263000  15.09585
79     9856.0   9857.0  243341.0     1.000000  46.247669  15.04755  46.235828  15.08234
80     9864.0   9865.0  243339.0     1.000000  46.247669  15.04755  46.243439  15.08869
81     9860.0   9861.0  243338.0     1.000000  46.247669  15.04755  46.247669  15.04755
82     9865.0   9866.0  243304.0     1.000000  46.243439  15.08869  46.263000  15.09585
83     9871.0   9872.0  243302.0     1.000000  46.256828  15.11543  46.256828  15.11543
84     9873.0   9856.0  219529.0     0.902068  46.256828  15.11543  46.247669  15.04755
85     9894.0   9895.0  202691.0     1.000000  46.026218  14.49264  46.067520  14.45521
86     9907.0   9908.0  202686.0     1.000000  46.065910  14.47231  46.065910  14.47231
87     9897.0   9898.0  202666.0     1.000000  46.065910  14.47231  46.065910  14.47231
88     9902.0   9903.0  202649.0     1.000000  46.067730  14.47296  46.065910  14.47231
89     9904.0   9905.0  202647.0     1.000000  46.065910  14.47231  46.065910  14.47231
90     9905.0   9906.0  202643.0     1.000000  46.065910  14.47231  46.065910  14.47231
91     9899.0   9900.0  202640.0     1.000000  46.065701  14.47530  46.068439  14.47314
92     9909.0   9910.0  202630.0     1.000000  46.065910  14.47231  46.065559  14.47500
93     9895.0   9896.0  202625.0     1.000000  46.067520  14.45521  46.065910  14.47231
94     9896.0   9897.0  202624.0     1.000000  46.065910  14.47231  46.065910  14.47231
95     9901.0   9902.0  202622.0     1.000000  46.068459  14.47526  46.067730  14.47296
96     9906.0   9907.0  202621.0     1.000000  46.065910  14.47231  46.065910  14.47231
97     9898.0   9899.0  202618.0     1.000000  46.065910  14.47231  46.065701  14.47530
98     9908.0   9909.0  202615.0     1.000000  46.065910  14.47231  46.065910  14.47231
99     9903.0   9904.0  202610.0     1.000000  46.065910  14.47231  46.065910  14.47231
